block,treatment,tier,n_out,excess
B10,CA,Core,265,0.0216483766581733
B10,CA,Convergent,18,0.0153136873903349
B10,CA,Private,34,0.0934647481520675
B10,SE,Core,799,0.0274747544406105
B10,SE,Convergent,73,0.0846462035021601
B10,SE,Private,75,0.121376665717593
B10,CASE,Core,1444,0.0268481635794181
B10,CASE,Convergent,397,0.0664748848190743
B10,CASE,Private,249,0.135152868146566
B11,CA,Core,267,0.0203764047326006
B11,CA,Convergent,24,0.0358003468789174
B11,CA,Private,38,0.0765039694283657
B11,SE,Core,537,0.0128399602849766
B11,SE,Convergent,60,0.0291419063282654
B11,SE,Private,25,0.0864989328940522
B11,CASE,Core,954,0.0117287664936745
B11,CASE,Convergent,288,0.00665666063560493
B11,CASE,Private,35,0.0807667471353826
B12,CA,Core,321,0.0151630350772603
B12,CA,Convergent,29,0.0336823068097343
B12,CA,Private,106,0.113002789154529
B12,SE,Core,805,0.0114917112673239
B12,SE,Convergent,69,0.0229134082248144
B12,SE,Private,75,0.121399736837223
B12,CASE,Core,1440,0.00921575418521532
B12,CASE,Convergent,345,0.00869367576170532
B12,CASE,Private,86,0.114013746280046
