tier,treatment,obs,null_mean,null_sd,z,band_lo,band_hi
Core,CA,0.0190626054893447,0.0110809439629086,0.00227549093481825,3.50766571042114,0.00668355861527275,0.0154801751733233
Core,SE,0.0172688086643037,0.0105421509648625,0.00152715204831733,4.40470725023932,0.00744828071877235,0.0136510897776142
Core,CASE,0.0159308947527693,0.0106798389918587,0.00112301703519899,4.67584693404064,0.00847255799867171,0.0128835511662143
Convergent,CA,0.0282654470263289,0.0108009487144507,0.0071774042009445,2.43326108199116,-0.00389426441497883,0.0253170805362121
Convergent,SE,0.04556717268508,0.0236511686262395,0.00431688318188236,5.07681193478209,0.0148128576375795,0.0314837869654906
Convergent,CASE,0.0272750737387949,0.0151312906447105,0.00182256663145627,6.66301186716075,0.0115963935315757,0.0188027771153199
Private,CA,0.0943238355783207,0.0586965325319339,0.00621033916543539,5.73677251713983,0.0465517625078353,0.0706225012884301
Private,SE,0.109758445149622,0.0687178855852516,0.00534503693781808,7.67825555591468,0.0580254093522859,0.0796385451924319
Private,CASE,0.109977787187331,0.0689133567777055,0.00442060469231263,9.2893242594246,0.0602657322362946,0.0774295336246034
